,字段名,$i 取值,描述,适用市场
0,ta_sma_$i_0,"5, 10, 20, 30, 60",收盘价的i日简单移动平均值,"A股,基金,期货,港股,美股"
1,ta_ema_$i_0,"5, 10, 20, 30, 60",收盘价的i日指数移动平均值,"A股,基金,期货,港股,美股"
2,ta_wma_$i_0,"5, 10, 20, 30, 60",收盘价的i日加权移动平均值,"A股,基金,期货,港股,美股"
3,ta_ad_0, ,收集派发指标,"A股,基金,期货,港股,美股"
4,ta_aroon_down_$i_0,"14, 28",阿隆指标aroondown，timeperiod=i,"A股,基金,期货,港股,美股"
5,ta_aroon_up_$i_0,"14, 28",阿隆指标aroonup，timeperiod=i,"A股,基金,期货,港股,美股"
6,ta_aroonosc_$i_0,"14, 28",AROONOSC指标，timeperiod=i,"A股,基金,期货,港股,美股"
7,ta_atr_$i_0,"14, 28",ATR指标，timeperiod=i,"A股,基金,期货,港股,美股"
8,ta_bbands_upperband_$i_0,"14, 28",BBANDS指标，timeperiod=i,"A股,基金,期货,港股,美股"
9,ta_bbands_middleband_$i_0,"14, 28",BBANDS指标，timeperiod=i,"A股,基金,期货,港股,美股"
10,ta_bbands_lowerband_$i_0,"14, 28",BBANDS指标，timeperiod=i,"A股,基金,期货,港股,美股"
11,ta_adx_$i_0,"14, 28",ADX指标，timeperiod=i,"A股,基金,期货,港股,美股"
12,ta_cci_$i_0,"14, 28",CCI指标，timeperiod=i,"A股,基金,期货,港股,美股"
13,ta_macd_macd_12_26_9_0, ,MACD,"A股,基金,期货,港股,美股"
14,ta_macd_macdsignal_12_26_9_0, ,MACD,"A股,基金,期货,港股,美股"
15,ta_macd_macdhist_12_26_9_0, ,MACD,"A股,基金,期货,港股,美股"
16,ta_obv_0, ,OBV指标,"A股,基金,期货,港股,美股"
17,ta_stoch_slowk_5_3_0_3_0_0, ,STOCH (KDJ) 指标K值,"A股,基金,期货,港股,美股"
18,ta_stoch_slowd_5_3_0_3_0_0, ,STOCH (KDJ) 指标D值,"A股,基金,期货,港股,美股"
19,ta_mfi_$i_0,"14, 28",MFI指标，timeperiod=i,"A股,基金,期货,港股,美股"
20,ta_rsi_$i_0,"14, 28",RSI指标，timeperiod=i,"A股,基金,期货,港股,美股"
21,ta_trix_$i_0,"14, 28",TRIX指标，timeperiod=i,"A股,基金,期货,港股,美股"
22,ta_sar_0, ,SAR指标,"A股,基金,期货,港股,美股"
23,ta_mom_$i_0,"10, 20, 30, 60",MOM指标，timperiod=i,"A股,基金,期货,港股,美股"
24,ta_willr_$i_0,"14, 28",WILLR指标，timeperiod=i,"A股,基金,期货,港股,美股"
